question_text;maxSpeed;age;Age2
Welche Bestandteile gehören zur Zelle?;120;2;2
In welchem Bereich der Zelle befindet sich die DNS (Desoxyribonukleinsäure)?;100;3;3
Welche Zelltypen sind dir bekannt?;130;2;2
Was ist ein Mitochondrium?;;;
Wo kommen Mitochondrien vor?;;;
Welche Gewebearten sind dir bekannt?;;;
Was ist charakteristisch für Fasziengewebe?;;;
Aus welchen funktionellen Einheiten besteht das Nervensystem?;;;
Das Vegetative Nervensystem (VNS) unterteilt sich in …;;;
Welche Aufgabe hat das zentrale Nervensystem?;;;
Welche Aufgabe hat das vegetative Nervensystem?;;;
Das parasympathische Nervensystem steht für …;;;
Was wird unter Homöostase verstanden?;;;
Das sympathische Nervensystem steht für ...;;;
In welchen Bereich des Körpers befindet sich das sympathische Nervensystem?;;;
In welchen Bereich des Körpers befindet sich das parasympathische Nervensystem?;;;
Eine Verengung der Blutgefäße und Erweiterung der Pupillen ist bezeichnend für den … ;;;
Welcher Ablauf bezüglich des Reflexbogens stimmt?;;;
Was sind Beispiele autonomer (unbewusster) Reflexe?;;;
Was sind Beispiele erworbener Reflexe?;;;
Was sind Bestandteile des passiven Bewegungsapparats?;;;
Was sind Bestandteile des aktiven Bewegungsapparats?;;;
Welche Arten der Muskulatur sind dir bekannt?;;;
Der lateinische Name bezeichnet den „Muskulus triceps brachii“ als einen …;;;
Welcher Muskel ist dir als ein „eingelenkiger Muskel“ bekannt?;;;
Welches Muskelgewebe ist fähig zur Dauerkontraktion?;;;
Welche Arbeitsweisen der Muskulatur sind dir bekannt?;;;
Bestimme die Arbeitsweise der Muskulatur beim Klimmzug.;;;
Bestimme die Arbeitsweise der Muskulatur bei der Kniebeuge.;;;
Bestimme einen möglichen Synergisten beim Trizepstraining.;;;
Bestimme einen möglichen Antagonisten beim Rudertraining.;;;
Bestimme einen möglichen Synergisten beim Bizepstraining.;;;
Was ist unter einer Flexion zu verstehen?;;;
Was ist unter einer Extension zu verstehen?;;;
Was ist unter einer Adduktion zu verstehen?;;;
Was ist unter einer Abduktion zu verstehen?;;;
Welche Gelenkaktionen sind dem M. biceps brachii (zweiköpfigen Armbeuger) zuzuordnen?;;;
Welche Gelenkaktionen sind dem M. triceps brachii (Armstrecker) zuzuordnen?;;;
Welche Gelenkaktionen sind dem M. gluteus maximus (großen Gesäßmuskel) zuzuordnen?;;;
Welche Gelenkaktionen sind dem M. biceps femoris (Beinbeuger) zuzuordnen?;;;
Welche Gelenkaktionen sind dem M. quadrizeps femoris (Beinstrecker) zuzuordnen?;;;
Welche Gelenkaktion ist dem M. iliopsoas (Lendendarmbeinmuskel) zuzuordnen?;;;
Welche Gelenkaktionen sind dem M. rectus abdominis (geraden Bauchmuskel) zuzuordnen?;;;
Welche Gelenkaktionen sind dem M. latissimus dorsi (breiten Rückenmuskel) zuzuordnen?;;;
Welche Gelenkaktionen sind dem M. pectoralis major (großen Brustmuskel) zuzuordnen?;;;
