175,Auf was sollte ein Trainer im Umgang mit Kunden achten?,respektvolles Verhalten,1
175,Auf was sollte ein Trainer im Umgang mit Kunden achten?,Glaubwürdigkeit,1
175,Auf was sollte ein Trainer im Umgang mit Kunden achten?,Freundlichkeit,1
175,Auf was sollte ein Trainer im Umgang mit Kunden achten?,übertriebene Distanz,0
175,Auf was sollte ein Trainer im Umgang mit Kunden achten?,gepflegtes Erscheinungsbild,1
176,Nach welchem Schema sollte eine Übungsunterweisung erfolgen?,didaktisch - methodisch,1
176,Nach welchem Schema sollte eine Übungsunterweisung erfolgen?,theoretisch,0
176,Nach welchem Schema sollte eine Übungsunterweisung erfolgen?,praktisch,0
176,Nach welchem Schema sollte eine Übungsunterweisung erfolgen?,genau,0
177,Sollte man bei einer Übungsdemonstration auch zeigen wie man es nicht macht?,Nein,1
177,Sollte man bei einer Übungsdemonstration auch zeigen wie man es nicht macht?,Ja,0
177,Sollte man bei einer Übungsdemonstration auch zeigen wie man es nicht macht?,Manchmal,0
178,Welche Sicherheitsaspekte müssen bei einer Trainingseinweisung beachtet werden?,Sind Seil- und Gummizüge evtl. eingerissen?  ,1
178,Welche Sicherheitsaspekte müssen bei einer Trainingseinweisung beachtet werden?,Sind Steckstifte bis zum Anschlag eingesteckt? ,1
178,Welche Sicherheitsaspekte müssen bei einer Trainingseinweisung beachtet werden?,Sind Karabinerhaken geschlossen? ,1
178,Welche Sicherheitsaspekte müssen bei einer Trainingseinweisung beachtet werden?,Ist das Gewicht (freien Hanteln) gleichmäßig verteilt? ,1
178,Welche Sicherheitsaspekte müssen bei einer Trainingseinweisung beachtet werden?,Sind die Hantelscheiben auf jeder Seite gesichert? ,1
179,Was ist bei der Fehlerkorrektur eines Kunden zu beachten?,respektvoll und ruhig auf den Fehler hinweisen,1
179,Was ist bei der Fehlerkorrektur eines Kunden zu beachten?,den Kunden ohne ihn zu fragen anzufassen,0
179,Was ist bei der Fehlerkorrektur eines Kunden zu beachten?,den Kunden während seiner Übung unterbrechen,0
179,Was ist bei der Fehlerkorrektur eines Kunden zu beachten?,den Kunden hörbar auf seine Fehler hinweisen,0
179,Was ist bei der Fehlerkorrektur eines Kunden zu beachten?,evtl. eine „noch effektivere Variante“ empfehlen,1
180,Was ist ein wichtiger Hinweis beim Training mit der Beinpresse?,Stabilen Stand einnehmen!,0
180,Was ist ein wichtiger Hinweis beim Training mit der Beinpresse?,Die Knie in der Endposition nicht durchstrecken!,1
180,Was ist ein wichtiger Hinweis beim Training mit der Beinpresse?,Gesäßmuskulatur anspannen (zur ISG-Stabilisierung)!,0
180,Was ist ein wichtiger Hinweis beim Training mit der Beinpresse?,Aufrechte symmetrische Haltung einnehmen!,0
180,Was ist ein wichtiger Hinweis beim Training mit der Beinpresse?,Den Kopf an das Poster anlegen!,0
181,Welche Stabilisierungshinweise sind bei aufrecht stehenden Krafttrainingsübungen sinnvoll?,Stabilen Stand einnehmen! ,1
181,Welche Stabilisierungshinweise sind bei aufrecht stehenden Krafttrainingsübungen sinnvoll?,Die Knie leicht gebeugt halten! ,1
181,Welche Stabilisierungshinweise sind bei aufrecht stehenden Krafttrainingsübungen sinnvoll?,Gesäßmuskulatur anspannen (zur ISG-Stabilisierung)! ,1
181,Welche Stabilisierungshinweise sind bei aufrecht stehenden Krafttrainingsübungen sinnvoll?,Aufrechte symmetrische Haltung einnehmen! ,1
181,Welche Stabilisierungshinweise sind bei aufrecht stehenden Krafttrainingsübungen sinnvoll?,Den Kopf nicht bewegen!,0
182,Wie könntest du einen Kunden im Studio langfristig motivieren?,Animation,0
182,Wie könntest du einen Kunden im Studio langfristig motivieren?,Small Talk,0
182,Wie könntest du einen Kunden im Studio langfristig motivieren?,echtes Interesse ,1
182,Wie könntest du einen Kunden im Studio langfristig motivieren?,Anerkennung der Kundenleistung,1
183,Wofür benötigt ein Trainer biomechanische Kenntnisse?,Um Bewegungsabläufe richtig zu analysieren.,1
183,Wofür benötigt ein Trainer biomechanische Kenntnisse?,Um evtl. Zwangslagen zu erkennen.,1
183,Wofür benötigt ein Trainer biomechanische Kenntnisse?,Um die optimale Sitzposition einzustellen.,1
183,Wofür benötigt ein Trainer biomechanische Kenntnisse?,Um Maschinendrehachsen richtig einzustellen.,1
183,Wofür benötigt ein Trainer biomechanische Kenntnisse?,Um biometrische Daten auswerten zu können.,0
184,In „vollständigem ROM“ zu trainieren bedeutet?,unter maximaler Belastung,0
184,In „vollständigem ROM“ zu trainieren bedeutet?,unter maximaler Konzentration,0
184,In „vollständigem ROM“ zu trainieren bedeutet?,mit der maximalen Bewegungsamplitude ,1
185,Welche Vorteile hat ROM-Training?,verbesserte Koordination ,1
185,Welche Vorteile hat ROM-Training?,verbesserte Beweglichkeit ,1
185,Welche Vorteile hat ROM-Training?,verbesserte Schnellkraft,0
185,Welche Vorteile hat ROM-Training?,verbesserter Gelenkschutz ,1
186,Welchen Aussagen bzgl. „Ristgriff“ und „Kammgriff“ stimmst du zu?,beim Ristgriff zeigen die Daumen nach innen,1
186,Welchen Aussagen bzgl. „Ristgriff“ und „Kammgriff“ stimmst du zu?,beim Kammgriff zeigen die Daumen nach innen,0
186,Welchen Aussagen bzgl. „Ristgriff“ und „Kammgriff“ stimmst du zu?,beim Ristgriff wird „supiniert“ gegriffen,0
186,Welchen Aussagen bzgl. „Ristgriff“ und „Kammgriff“ stimmst du zu?,bei Kammgriff zeigen die Daumen nach außen,1
187,Welcher Buchstabe gehört zum passenden Trainingsequipment? Bitte in das jeweilige Feld eingeben!,Latzug-Griffe: ,1
187,Welcher Buchstabe gehört zum passenden Trainingsequipment? Bitte in das jeweilige Feld eingeben!,SZ-Stange: ,2
