221,In welcher Phase sollte der Kunde hier ausatmen?,beim nach unten gehen,0
221,In welcher Phase sollte der Kunde hier ausatmen?,beim nach oben drücken,1
221,In welcher Phase sollte der Kunde hier ausatmen?,ist egal,0
222,Warum sollten die Fußspitzen höher als die Knie sein?,um eine Überbelastung in den Knien zu vermeiden ,1
222,Warum sollten die Fußspitzen höher als die Knie sein?,damit die Beine nicht zu sehr auf den Oberkörper drücken,0
223,"Für welche Zielgruppe ist ""Abduktion stehend"" besonders zu empfehlen?",für Kunden mit leichten Kniebeschwerden,1
223,"Für welche Zielgruppe ist ""Abduktion stehend"" besonders zu empfehlen?",für Kunden mit schweren Hüftbeschwerden,0
224,Worauf ist bei dieser Übung zu achten?,die Knie- und die Maschinendrehachse stimmt überein,1
224,Worauf ist bei dieser Übung zu achten?,das Becken hebt sich nicht vom Polster ab,1
224,Worauf ist bei dieser Übung zu achten?,Die Kniegelenke werden komplett gestreckt,0
225,Durch welche Möglichkeiten kann die Knieachse ausgerichtet werden?,Mit der Einstellung des Rückenpolsters,1
225,Durch welche Möglichkeiten kann die Knieachse ausgerichtet werden?,Mit der Einstellung der Beinfixierung,0
225,Durch welche Möglichkeiten kann die Knieachse ausgerichtet werden?,Mit der Einstellung der Sitzhöhe,1
226,Warum sollte die seitliche Bauchmuskulatur gezielt trainiert werden?,um die Wirbelsäule muskulär zu sichern,1
226,Warum sollte die seitliche Bauchmuskulatur gezielt trainiert werden?,um den Bauch besser zu definieren ,0
227,Eignet sich die dargestellte Übung zur Stabilisierung der LWS?,nein,0
227,Eignet sich die dargestellte Übung zur Stabilisierung der LWS?,ja,1
228,Worauf ist bei der Beinstreckmaschine zu achten?,Knie- und Maschinendrehachse stimmen überein,1
228,Worauf ist bei der Beinstreckmaschine zu achten?,Eine maximale Beugung ist bei Kniebeschwerden zu begrenzen,1
228,Worauf ist bei der Beinstreckmaschine zu achten?,Keine maximale Streckung durchführen,0
229,Wie können hier unterschiedliche Wirbelsäulensegmente trainiert werden?,Indem man die Sitzhöhe variiert,1
229,Wie können hier unterschiedliche Wirbelsäulensegmente trainiert werden?,Indem man den Körper mit bewegt,0
230,"Was unterscheidet Hyperextensionen frei, von einer sitzenden Rückenstreckmaschine?",überall praktizierbar,1
230,"Was unterscheidet Hyperextensionen frei, von einer sitzenden Rückenstreckmaschine?",Schwierigkeitsgrad ist geringer,0
230,"Was unterscheidet Hyperextensionen frei, von einer sitzenden Rückenstreckmaschine?",Koordinationsaufwand ist höher,1
231,"Ist es wichtig, während dieser Übung die Schulterblätter „hinten unter Spannung“ zu halten?","Ja, um eine evtl. Verletzung zu vermeiden",1
231,"Ist es wichtig, während dieser Übung die Schulterblätter „hinten unter Spannung“ zu halten?","Ja, damit bei großem Gewicht keine Zwangslage entsteht",1
231,"Ist es wichtig, während dieser Übung die Schulterblätter „hinten unter Spannung“ zu halten?","Nein, wenn gezielt die Scapulamuskulatur trainiert werden möchte",1
232,Was ist beim Lat-Ziehen zu beachten?,die Handgelenke in der vollständigen Zugbewegung nicht abknicken,1
232,Was ist beim Lat-Ziehen zu beachten?,die Schulterblätter in der rückführenden Bewegung nicht aushängen,1
232,Was ist beim Lat-Ziehen zu beachten?,den Körper mit Schwung bewegen,0
233,"Warum sollte die Brust bei der Übung ""Butterfly reverse"" am Brustpolster bleiben?",Um ein Abfälschen bei dieser Übung zu vermeiden,1
233,"Warum sollte die Brust bei der Übung ""Butterfly reverse"" am Brustpolster bleiben?",Um evtl. Rückenverletzungen vorzubeugen,1
233,"Warum sollte die Brust bei der Übung ""Butterfly reverse"" am Brustpolster bleiben?",Um den Bauch zu stabilisieren,0
234,Warum ist Langhantel-Rudern für einen Anfänger eher ungeeignet?,hohe Fehleranfälligkeit,1
234,Warum ist Langhantel-Rudern für einen Anfänger eher ungeeignet?,hoher Schwierigkeitsgrad ,1
234,Warum ist Langhantel-Rudern für einen Anfänger eher ungeeignet?,geringer Koordinationsaufwand ,0
235,Pull Over Maschine: Was ist bei der Einstellung der Sitzhöhe zu beachten?,Die Schultergelenke und die Maschinendrehachse müssen übereinstimmen.,1
235,Pull Over Maschine: Was ist bei der Einstellung der Sitzhöhe zu beachten?,Der Hüftwinkel muss 45 Grad betragen.,0
236,Für welche Zielgruppe ist die Übung HWS-Extension besonders geeignet? Für Personen die …,… mehrere Stunden täglich am Computer sitzen. ,1
236,Für welche Zielgruppe ist die Übung HWS-Extension besonders geeignet? Für Personen die …,… mehrere Stunden täglich im Auto sitzen. ,1
236,Für welche Zielgruppe ist die Übung HWS-Extension besonders geeignet? Für Personen die …,… ein Schleudertrauma haben.,0
237,Was ist beim Abstand der Griffbreite zu beachten?,"Je breiter der Griff, desto höher die Belastung der Deltamuskulatur.",1
237,Was ist beim Abstand der Griffbreite zu beachten?,"Je breiter der Griff, desto geringer die Belastung der Deltamuskulatur.",0
238,Warum sollte beim freien Kniebeugen die Aufwärtsbewegung mit dem Kopf beginnen?,Um den Rücken zu entlasten,0
238,Warum sollte beim freien Kniebeugen die Aufwärtsbewegung mit dem Kopf beginnen?,Um „Bogenspannung“ des Körpers zu erhalten,1
238,Warum sollte beim freien Kniebeugen die Aufwärtsbewegung mit dem Kopf beginnen?,Um nicht ins „Hohlkreuz“ zu gelangen,0
239,Wann ist es sinnvoll die Langhantel beim Kreuzheben versetzt zu greifen?,Bei vielen Wiederholungen,0
239,Wann ist es sinnvoll die Langhantel beim Kreuzheben versetzt zu greifen?,Bei vielen Sätzen ,0
239,Wann ist es sinnvoll die Langhantel beim Kreuzheben versetzt zu greifen?,Bei hohem Gewicht,1
240,Welcher Aussage stimmst du zu?,Je breiter der Stand desto stärker die Gesäßbeanspruchung.,1
240,Welcher Aussage stimmst du zu?,"Je breiter der Stand, desto höher die Kniebelastung.",0
241,Was ist bei der Einstellung der Sitzhöhe zu beachten?,Die Griffe befinden sich auf Brusthöhe. ,1
241,Was ist bei der Einstellung der Sitzhöhe zu beachten?,Der Körper liegt am Rückenpolster an. ,1
241,Was ist bei der Einstellung der Sitzhöhe zu beachten?,Die Beine können ausgestreckt werden.,0
242,Warum sollte sich die Griffposition nicht über der Brusthöhe befinden?,Damit die Ellenbogen über der Hand positioniert werden können. ,1
242,Warum sollte sich die Griffposition nicht über der Brusthöhe befinden?,Geringere Gelenkbelastung von Ellenbogen und Schulter. ,1
242,Warum sollte sich die Griffposition nicht über der Brusthöhe befinden?,Weil dann der Brustmuskel nicht mehr trainiert wird.,0
243,Warum sollte die Langhantel bei der Übungsausführung die Brust berühren?,Um eine größtmögliche Bewegungsamplitude auszunutzen.,1
243,Warum sollte die Langhantel bei der Übungsausführung die Brust berühren?,Um die größtmögliche Muskelkontraktion zu erreichen. ,1
243,Warum sollte die Langhantel bei der Übungsausführung die Brust berühren?,Um eine Verletzung auszuschließen.,0
244,Warum sollten die Schultergelenke mit den Maschinendrehachsen übereinstimmen?,Um ungünstige Gelenkbelastungen zu vermeiden.,1
244,Warum sollten die Schultergelenke mit den Maschinendrehachsen übereinstimmen?,Um ein „Körperschwingen“ zu vermeiden.,0
244,Warum sollten die Schultergelenke mit den Maschinendrehachsen übereinstimmen?,Um eine vollständige Bewegungsamplitude zu ermöglichen.,1
245,"Was ist zu beachten, um den seitlichen Schulterkopf isoliert zu trainieren?",Die Höhe der Ellenbogen sollte sich nicht über den Händen befinden.,0
245,"Was ist zu beachten, um den seitlichen Schulterkopf isoliert zu trainieren?",Die Höhe der Ellenbogen sollte sich nicht unter den Händen befinden.,1
246,Warum sollten hier die Achseln einen ständigen Kontakt zur Auflage haben?,Um ein Mitschwingen des Schultergürtels zu vermeiden. ,1
246,Warum sollten hier die Achseln einen ständigen Kontakt zur Auflage haben?,Um die komplette Amplitude auszunutzen.,0
247,Warum sollte der Ellenbogen während der Bewegung frei fixiert bleiben?,Um ein Mithelfen der Schultermuskeln zu reduzieren.,1
247,Warum sollte der Ellenbogen während der Bewegung frei fixiert bleiben?,Um eine gleichmäßige Muskelbelastung zu erreichen.,0
248,Durch welche Maßnahme könnte ein Abfälschen des Oberkörpers vermieden werden?,Durch eine Brust- oder Rücken-Fixierung.,1
248,Durch welche Maßnahme könnte ein Abfälschen des Oberkörpers vermieden werden?,Durch eine Fixierung an Schulter oder Ellenbogen.,0
249,Warum sollten bei der Ausführung die Ellenbogen am Körper fixiert bleiben?,Um ein Mitschwingen der Oberarme zu vermeiden.,1
